"year","month","ts","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1885,8,1885.62,"1885-8-15 00:00:00",-0.373477,-0.701921,-0.912537,-0.50543,-0.769026,-0.693943,-0.64119,-1.1203,-0.592026,-0.746964,-0.381406,-0.586921
1885,9,1885.71,"1885-9-15 00:00:00",0.80973,0.274269,-0.178196,-0.417763,-0.125192,-0.371498,-0.340943,-0.323119,-0.743131,-0.320619,-0.471615,-0.160585
1885,10,1885.79,"1885-10-15 00:00:00",1.00683,1.24901,0.810637,0.335766,0.105097,0.318263,0.0748325,0.0664048,0.0455478,-0.352949,0.0017535,-0.148875
1885,11,1885.88,"1885-11-15 00:00:00",-0.126552,0.731133,0.890747,0.571795,0.191514,-0.0134827,0.191955,-0.0300853,-0.0297902,-0.0415689,-0.422266,-0.0795276
1885,12,1885.96,"1885-12-15 00:00:00",-0.198525,-0.386127,0.309853,0.596394,0.362499,0.0354765,-0.153316,0.0504409,-0.161833,-0.14717,-0.152743,-0.5166
1886,1,1886.04,"1886-1-15 00:00:00",-0.0244689,-0.254182,-0.409914,0.197022,0.467052,0.264775,-0.0277796,-0.207511,-0.00933979,-0.208204,-0.190733,-0.196861
1886,2,1886.12,"1886-2-15 00:00:00",-1.28435,-0.948991,-1.11252,-0.963081,-0.303715,0.00888701,-0.163377,-0.39194,-0.570157,-0.367614,-0.54377,-0.492148
1886,3,1886.21,"1886-3-15 00:00:00",0.0912619,-0.813541,-0.808148,-0.806614,-0.857931,-0.293932,-0.00808557,-0.1682,-0.384946,-0.55057,-0.359699,-0.531577
1886,4,1886.29,"1886-4-15 00:00:00",-0.208597,-0.169918,-0.870344,-0.876961,-0.884664,-0.942574,-0.393466,-0.111753,-0.264534,-0.467389,-0.627861,-0.43699
1886,5,1886.38,"1886-5-15 00:00:00",-0.197171,-0.420343,-0.34218,-0.923816,-0.930491,-0.929532,-0.981387,-0.462102,-0.193139,-0.331518,-0.523231,-0.67522
1886,6,1886.46,"1886-6-15 00:00:00",1.48556,0.927323,0.613163,0.485544,-0.121469,-0.195339,-0.318528,-0.404885,0.00993014,0.22707,0.0852031,-0.127984
1886,7,1886.54,"1886-7-15 00:00:00",-0.373352,0.595556,0.401772,0.189119,0.139032,-0.342411,-0.392179,-0.482329,-0.554928,-0.158779,0.054533,-0.0736033
1886,8,1886.62,"1886-8-15 00:00:00",-0.688383,-0.723288,0.104036,-0.0306662,-0.15562,-0.163882,-0.558916,-0.598083,-0.657032,-0.724038,-0.344366,-0.134729
1886,9,1886.71,"1886-9-15 00:00:00",-0.893528,-1.1637,-1.07146,-0.304093,-0.392849,-0.475838,-0.454039,-0.783917,-0.805378,-0.840857,-0.900288,-0.53725
1886,10,1886.79,"1886-10-15 00:00:00",-0.201842,-0.87997,-1.12841,-1.07549,-0.431265,-0.51023,-0.59146,-0.563665,-0.870854,-0.893464,-0.917196,-0.974001
1886,11,1886.88,"1886-11-15 00:00:00",-0.0554792,-0.455736,-0.820421,-1.07258,-1.07728,-0.480275,-0.560298,-0.626919,-0.590879,-0.879865,-0.914215,-0.949715
1886,12,1886.96,"1886-12-15 00:00:00",1.19642,0.837004,0.477539,0.0400576,-0.288929,-0.430165,0.0505579,-0.0415453,-0.131725,-0.134686,-0.437808,-0.471805
1887,1,1887.04,"1887-1-15 00:00:00",-3.62007,-0.284893,-0.394114,-0.526763,-0.892717,-1.15827,-1.16584,-0.652998,-0.726954,-0.779513,-0.725308,-1.00564
1887,2,1887.12,"1887-2-15 00:00:00",-1.93261,-4.10299,-1.38475,-1.11794,-1.17865,-1.46149,-1.66987,-1.62432,-1.1196,-1.19285,-1.21026,-1.10768
1887,3,1887.21,"1887-3-15 00:00:00",0.371846,-0.838031,-2.44925,-0.84691,-0.857931,-0.956691,-1.23125,-1.44844,-1.44355,-0.976725,-1.04732,-1.08087
1887,4,1887.29,"1887-4-15 00:00:00",-1.017,-0.406283,-1.3081,-2.69308,-1.20432,-1.19694,-1.26226,-1.52646,-1.72972,-1.69583,-1.22241,-1.28368
1887,5,1887.38,"1887-5-15 00:00:00",1.60788,0.666648,0.65408,-0.217261,-1.33998,-0.421693,-0.482075,-0.592967,-0.868473,-1.07387,-1.12611,-0.709594
1887,6,1887.46,"1887-6-15 00:00:00",-2.65969,-0.156704,-0.756377,-0.478819,-1.11547,-2.1529,-1.12674,-1.12312,-1.17123,-1.40303,-1.57849,-1.59473
1887,7,1887.54,"1887-7-15 00:00:00",-0.302633,-1.66795,-0.445092,-0.832218,-0.622639,-1.17132,-2.04933,-1.18015,-1.18496,-1.22277,-1.43249,-1.60877
1887,8,1887.62,"1887-8-15 00:00:00",-0.806794,-0.739369,-1.73899,-0.714086,-1.0525,-0.850287,-1.32478,-2.1034,-1.32401,-1.33863,-1.37198,-1.56526
1887,9,1887.71,"1887-9-15 00:00:00",-0.384659,-0.903018,-0.852765,-1.71325,-0.824622,-1.11171,-0.923709,-1.3313,-2.01153,-1.32707,-1.34757,-1.38109
1887,10,1887.79,"1887-10-15 00:00:00",-0.190851,-0.545171,-0.923725,-0.887577,-1.65434,-0.896957,-1.1763,-1.00028,-1.38444,-2.03665,-1.37873,-1.40029
1887,11,1887.88,"1887-11-15 00:00:00",-0.226723,-0.601434,-0.669879,-0.995896,-0.983368,-1.6639,-0.987158,-1.23285,-1.05101,-1.41375,-2.04879,-1.44396
1887,12,1887.96,"1887-12-15 00:00:00",0.453983,0.076175,-0.138285,-0.367127,-0.723273,-0.763841,-1.41097,-0.813106,-1.06326,-0.889665,-1.25586,-1.84011
1888,1,1888.04,"1888-1-15 00:00:00",-0.69518,-0.136043,-0.362653,-0.494137,-0.674349,-0.992599,-0.998073,-1.63118,-1.04059,-1.26119,-1.07955,-1.43885
1888,2,1888.12,"1888-2-15 00:00:00",0.178256,-0.478553,-0.184598,-0.320419,-0.464243,-0.619086,-0.90987,-0.941185,-1.5681,-1.01588,-1.22037,-1.03737
1888,3,1888.21,"1888-3-15 00:00:00",1.81019,1.34022,0.798655,0.788314,0.55718,0.360841,0.170736,-0.121143,-0.245061,-0.803738,-0.330327,-0.555442
1888,4,1888.29,"1888-4-15 00:00:00",0.40618,1.61432,1.29448,0.82849,0.827164,0.611059,0.424839,0.240384,-0.0443207,-0.173295,-0.715387,-0.255909
1888,5,1888.38,"1888-5-15 00:00:00",-2.29114,-1.24229,0.517558,0.429393,0.020903,0.171646,0.00529983,-0.134854,-0.286968,-0.542543,-0.62238,-1.1514
1888,6,1888.46,"1888-6-15 00:00:00",0.675569,-0.857908,-0.527367,0.736595,0.611114,0.246998,0.34672,0.181646,0.040963,-0.105047,-0.347714,-0.443518
1888,7,1888.54,"1888-7-15 00:00:00",1.20066,1.27341,0.298045,0.373826,1.2113,1.05596,0.733986,0.754724,0.589683,0.43502,0.290787,0.0593174
1888,8,1888.62,"1888-8-15 00:00:00",0.134504,0.889893,1.02268,0.246606,0.322791,1.02731,0.933292,0.66008,0.69394,0.553616,0.415315,0.282675
1888,9,1888.71,"1888-9-15 00:00:00",-0.592502,-0.361048,0.461154,0.632599,-0.0458092,0.0478306,0.714896,0.650345,0.407802,0.46725,0.34614,0.230237
1888,10,1888.79,"1888-10-15 00:00:00",0.648291,0.0861092,0.0827349,0.640189,0.788397,0.194609,0.263747,0.860821,0.791058,0.563342,0.603598,0.486618
1888,11,1888.88,"1888-11-15 00:00:00",-0.126552,0.33868,-0.0970199,-0.0733891,0.477618,0.622427,0.0751708,0.147179,0.711695,0.663299,0.453467,0.506509
1888,12,1888.96,"1888-12-15 00:00:00",-1.95648,-1.50536,-0.686617,-0.973473,-0.873616,-0.171454,0.0095944,-0.528681,-0.427521,0.19715,0.186345,-0.0177877
1889,1,1889.04,"1889-1-15 00:00:00",-2.05697,-2.78532,-2.3618,-1.47065,-1.6636,-1.51852,-0.72553,-0.528094,-1.05147,-0.917391,-0.254135,-0.241478
1889,2,1889.12,"1889-2-15 00:00:00",1.09419,-0.271089,-1.56323,-1.28866,-0.808175,-1.01185,-0.933508,-0.320077,-0.156649,-0.662246,-0.549738,0.047133
1889,3,1889.21,"1889-3-15 00:00:00",0.120457,0.80604,-0.248802,-1.10624,-1.1221,-0.736167,-0.929571,-0.871967,-0.308727,-0.153319,-0.628535,-0.529307
1889,4,1889.29,"1889-4-15 00:00:00",-0.173366,-0.124737,0.554607,-0.366926,-1.14516,-1.1786,-0.807279,-1.00059,-0.944131,-0.383876,-0.228699,-0.692379
1889,5,1889.38,"1889-5-15 00:00:00",0.762462,0.387195,0.28473,0.791337,-0.031139,-0.77096,-0.835153,-0.528717,-0.724892,-0.681276,-0.194185,-0.0496873
1889,6,1889.46,"1889-6-15 00:00:00",0.104006,0.565362,0.311285,0.247239,0.705385,-0.0263054,-0.711689,-0.769485,-0.487166,-0.667061,-0.631392,-0.182623
1889,7,1889.54,"1889-7-15 00:00:00",0.384322,0.292473,0.641706,0.403913,0.343272,0.724975,0.0935939,-0.526453,-0.596578,-0.355677,-0.52304,-0.502268
1889,8,1889.62,"1889-8-15 00:00:00",0.00873959,0.21652,0.183796,0.440124,0.294938,0.25466,0.602242,0.053408,-0.495308,-0.568512,-0.351982,-0.508359
1889,9,1889.71,"1889-9-15 00:00:00",0.282088,0.124563,0.257882,0.229019,0.445371,0.320732,0.28192,0.58599,0.0979705,-0.397551,-0.470544,-0.28007
1889,10,1889.79,"1889-10-15 00:00:00",0.944152,0.865767,0.655756,0.641673,0.60368,0.777637,0.655835,0.596682,0.850855,0.393907,-0.0948943,-0.172813
1889,11,1889.88,"1889-11-15 00:00:00",-0.914917,0.13051,0.192225,0.114557,0.221894,0.206209,0.395709,0.294292,0.260779,0.53566,0.102281,-0.354585
1889,12,1889.96,"1889-12-15 00:00:00",-0.850243,-1.47217,-0.420093,-0.319124,-0.343026,-0.157313,-0.153316,0.0465699,-0.0381538,-0.0420713,0.253362,-0.171314
1890,1,1890.04,"1890-1-15 00:00:00",0.959456,0.0600804,-0.531075,0.0619065,0.112204,0.0625844,0.164846,0.157249,0.337361,0.244629,0.216239,0.48217
